"","X","POLY_ID","Species","Product","sum","Link","POLY_ID.1","Species.1","total","percentage","join"
"294",294,"450-07","C","Large Sawlog",15776,"C450-07","450-07","C",347540,4.53933360188755,"450-07CLarge Sawlog"
"295",295,"450-07","C","Small Sawlog",331764,"C450-07","450-07","C",347540,95.4606663981125,"450-07CSmall Sawlog"
"296",296,"450-07","DF","Large Sawlog",60608,"DF450-07","450-07","DF",633080,9.5735136159727,"450-07DFLarge Sawlog"
"297",297,"450-07","DF","Small Sawlog",318162,"DF450-07","450-07","DF",633080,50.2562077462564,"450-07DFSmall Sawlog"
"298",298,"450-07","DF","Stud",254310,"DF450-07","450-07","DF",633080,40.1702786377709,"450-07DFStud"
"299",299,"450-07","EP","Large Sawlog",8,"EP450-07","450-07","EP",3734,0.214247455811462,"450-07EPLarge Sawlog"
"300",300,"450-07","EP","Small Sawlog",3726,"EP450-07","450-07","EP",3734,99.7857525441885,"450-07EPSmall Sawlog"
"301",301,"450-07","H","Small Sawlog",48,"H450-07","450-07","H",48,100,"450-07HSmall Sawlog"
"302",302,"450-07","PL","Large Sawlog",7052,"PL450-07","450-07","PL",228275,3.08925637936699,"450-07PLLarge Sawlog"
"303",303,"450-07","PL","Small Sawlog",92646,"PL450-07","450-07","PL",228275,40.5852590077757,"450-07PLSmall Sawlog"
"304",304,"450-07","PL","Stud",128577,"PL450-07","450-07","PL",228275,56.3254846128573,"450-07PLStud"
"305",305,"450-08","AT","Large Sawlog",656,"AT450-08","450-08","AT",12396,5.2920296869958,"450-08ATLarge Sawlog"
"306",306,"450-08","AT","Small Sawlog",11740,"AT450-08","450-08","AT",12396,94.7079703130042,"450-08ATSmall Sawlog"
"307",307,"450-08","B","Large Sawlog",3028,"B450-08","450-08","B",83471,3.6276071929173,"450-08BLarge Sawlog"
"308",308,"450-08","B","Small Sawlog",44075,"B450-08","450-08","B",83471,52.8027698242503,"450-08BSmall Sawlog"
"309",309,"450-08","B","Stud",36368,"B450-08","450-08","B",83471,43.5696229828324,"450-08BStud"
"310",310,"450-08","C","Large Sawlog",15776,"C450-08","450-08","C",292246,5.39819193419243,"450-08CLarge Sawlog"
"311",311,"450-08","C","Small Sawlog",276470,"C450-08","450-08","C",292246,94.6018080658076,"450-08CSmall Sawlog"
"312",312,"450-08","DF","Large Sawlog",60608,"DF450-08","450-08","DF",495283,12.2370442756969,"450-08DFLarge Sawlog"
"313",313,"450-08","DF","Small Sawlog",265135,"DF450-08","450-08","DF",495283,53.5320210869341,"450-08DFSmall Sawlog"
"314",314,"450-08","DF","Stud",169540,"DF450-08","450-08","DF",495283,34.2309346373689,"450-08DFStud"
"315",315,"450-08","EP","Large Sawlog",8,"EP450-08","450-08","EP",3113,0.256986829424992,"450-08EPLarge Sawlog"
"316",316,"450-08","EP","Small Sawlog",3105,"EP450-08","450-08","EP",3113,99.743013170575,"450-08EPSmall Sawlog"
"317",317,"450-08","H","Small Sawlog",40,"H450-08","450-08","H",40,100,"450-08HSmall Sawlog"
"318",318,"450-08","PL","Large Sawlog",7052,"PL450-08","450-08","PL",169975,4.14884541844389,"450-08PLLarge Sawlog"
"319",319,"450-08","PL","Small Sawlog",77205,"PL450-08","450-08","PL",169975,45.4213854978673,"450-08PLSmall Sawlog"
"320",320,"450-08","PL","Stud",85718,"PL450-08","450-08","PL",169975,50.4297690836888,"450-08PLStud"
"321",321,"450-09","AT","Large Sawlog",492,"AT450-09","450-09","AT",7536,6.52866242038217,"450-09ATLarge Sawlog"
"322",322,"450-09","AT","Small Sawlog",7044,"AT450-09","450-09","AT",7536,93.4713375796178,"450-09ATSmall Sawlog"
"323",323,"450-09","B","Large Sawlog",2271,"B450-09","450-09","B",65084,3.48933685698482,"450-09BLarge Sawlog"
"324",324,"450-09","B","Small Sawlog",26445,"B450-09","450-09","B",65084,40.6321062012169,"450-09BSmall Sawlog"
"325",325,"450-09","B","Stud",36368,"B450-09","450-09","B",65084,55.8785569417983,"450-09BStud"
"326",326,"450-09","C","Large Sawlog",11832,"C450-09","450-09","C",177714,6.65788851750566,"450-09CLarge Sawlog"
"327",327,"450-09","C","Small Sawlog",165882,"C450-09","450-09","C",177714,93.3421114824943,"450-09CSmall Sawlog"
"328",328,"450-09","DF","Large Sawlog",45456,"DF450-09","450-09","DF",374077,12.1515089139402,"450-09DFLarge Sawlog"
"329",329,"450-09","DF","Small Sawlog",159081,"DF450-09","450-09","DF",374077,42.5262713291648,"450-09DFSmall Sawlog"
"330",330,"450-09","DF","Stud",169540,"DF450-09","450-09","DF",374077,45.322219756895,"450-09DFStud"
"331",331,"450-09","EP","Large Sawlog",6,"EP450-09","450-09","EP",1869,0.321027287319422,"450-09EPLarge Sawlog"
"332",332,"450-09","EP","Small Sawlog",1863,"EP450-09","450-09","EP",1869,99.6789727126806,"450-09EPSmall Sawlog"
"333",333,"450-09","H","Small Sawlog",24,"H450-09","450-09","H",24,100,"450-09HSmall Sawlog"
